3
3,12
12,15,0
3,12,15
12,3,15,0
12,3,15,0,14
12,3,15,0,13,14
12,3,15,0,13,14,1
12,3,15,0,13,14,1,5
12,3,15,0,13,14,1,5,13
12,3,15,0,13,14,1,5,13,15
12,3,15,0,13,14,1,5,13,15,13
12,3,15,0,13,14,1,5,13,15,13,13
12,3,15,0,13,14,1,5,13,15,13,13,0
12,3,15,0,13,14,1,5,13,15,13,13,0,0
12,3,15,0,13,14,1,5,13,15,13,13,0,0,0
